participant_id,wcst_rl_alpha,wcst_rl_beta,wcst_rl_n_trials,wcst_rl_alpha_pos,wcst_rl_alpha_neg,wcst_rl_alpha_asymmetry,wcst_rl_beta_asym,wcst_rl_asym_n_trials
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,0.01,0.1,94,0.7738857181811521,0.01,0.7638857181811521,0.12835071372995713,94
AsXBOflrszVNKoFqbN61bMJqS0k2,0.01,0.1,105,0.99,0.930943213513056,0.05905678648694401,0.16139623748087867,105
AyAnuCaltBbpEYbudoyNzTvXlcC2,0.01,0.1,112,0.99,0.01,0.98,0.42244831621690476,112
BbwUTWswjtPWhb5DvLAmh9Hdpyl2,0.01,0.1,128,0.2510243174615459,0.3792447208084779,-0.12822040334693197,0.8517441830170199,128
BcCTlXWx6ARh4rBtkdWRgZH3C7H2,0.01,0.1,77,0.01,0.01,0.0,0.1,77
C4HWhqUIJ3Rl6SboyJGqlrXFAJJ2,0.01,0.1,105,0.7470853922867423,0.6230556526854208,0.12402973960132146,0.37869304526408104,105
CDEoAyvS8feXLKMKsaZah9agEhF3,0.01,0.1,68,0.6322763091618432,0.01,0.6222763091618432,0.1,68
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,0.252704605464706,1.1327197757473149,91,0.01,0.5068699738051949,-0.49686997380519493,9.485753332914042,91
CN1ySCsiSLN4m9yh9fS4s5p6T8k1,0.7661829228087648,0.11350794546319712,81,0.01,0.99,-0.98,1.9924540725776052,81
CUNlBEszJVRGK1jWlTaOaCqpDg53,0.01,0.1,76,0.35912577423056147,0.01,0.34912577423056146,0.8645484611808123,76
Cbkx2NHyF3NrebzXGqNgSfiWent1,0.24703623522119472,1.0471321816377548,71,0.01,0.8974801899271508,-0.8874801899271508,8.144246487110706,71
Co587hoelyeANqFX7AYvuVQW0lZ2,0.01,0.1,82,0.8893979942478507,0.8890257474244952,0.0003722468233554599,0.6008057425970296,82
CtJe4bZZnYUBNrcPk00d3YQFSGp2,0.01,0.1,80,0.6363532109776456,0.01,0.6263532109776456,0.2748890102633727,80
DAKDKPH698P12JfTbbjemLI6PIH2,0.01,0.1,86,0.01,0.38799189289182107,-0.37799189289182106,0.1,86
DPvStUYSmohmXwFwaKRqHv89R3k1,0.01,0.1,63,0.01,0.9899999999999999,-0.9799999999999999,0.1,63
DaRehVxIOhXtEtUExdgvUl0mKcx2,0.01,0.18002133991555394,128,0.01,0.01,0.0,0.18016961797675318,128
Df83JuPuJkXqTGbENhM2gw5SJM43,0.01,0.10000000000000009,88,0.99,0.99,0.0,0.18146976403146112,88
DxSidjznjVSNDJuDqqGgxpMEGtw1,0.01,0.12198080603541164,68,0.9348768208442858,0.01,0.9248768208442858,1.2382310539011054,68
DzB19GqCB7fyrlEPexogWkjFzEx2,0.01,0.1,79,0.3936080584460552,0.01,0.38360805844605517,0.624451992051337,79
EEodWwGh0wWq5f8JmzfKvq0lyeu1,0.01,0.1,96,0.010000000000000009,0.01,8.673617379884035e-18,0.1,96
EUhcW9kURScie1DwGPHqmNqotJB2,0.01,0.1,128,0.8992669059824285,0.99,-0.09073309401757146,0.2577800844274038,128
EmfmKFDgWJdW47a6CNTNjnbYaPh2,0.10395276723343759,1.3274424560962195,83,0.18946459916541006,0.01,0.17946459916541005,1.2548592975179633,83
EoToosG69XMp4LTYdB6sB9WTrv22,0.01,0.10000000000000009,65,0.99,0.01,0.98,0.1,65
Fz7EUjZCLuUBxLDUVtN6djaBTy42,0.01,0.1,84,0.01,0.01,0.0,0.1,84
G1Ff3XYUZMRsPafyEQ80ussnVlf1,0.01,0.1,128,0.01,0.99,-0.98,5.595724423746996,128
G9VruXninjUdE9czK2DambZl5li2,0.01,0.1,99,0.7576587668818094,0.01,0.7476587668818094,0.45123914393234976,99
GDZGRW51kbWtAdUIHCtEd8sAtqY2,0.99,0.1,83,0.99,0.99,0.0,0.1,83
GE4hogtdLdTFbNasENgtm6SO3hC3,0.01,0.1,67,0.99,0.99,0.0,0.37973187623224086,67
GEwkBw3YHaNp3TCh9YS9PKVfavz1,0.01,0.1,77,0.01,0.99,-0.98,8.745650492972286,77
HSggdq91WiQp16bOj7V3dABkcgk2,0.15603769323226696,1.8046595658082754,89,0.062212735455487736,0.3021332583879911,-0.23992052293250338,2.4970570944928827,89
HbydnnT1hUP3WagAy2TJAc6GqVs2,0.01,0.1,67,0.01,0.01,0.0,0.1,67
HyQM2xKwwuVfqidmRYF6TiRk90C2,0.01,0.1,83,0.01,0.2957015220334119,-0.28570152203341187,0.1,83
IaTJhUGICmO9xcL3605RW8QHneN2,0.01,1.1674636177690496,108,0.01,0.31296032341613794,-0.30296032341613793,2.182199826115522,108
JOBWLirr6KYf3GXJ3jPFKmd48S93,0.01,0.1,75,0.99,0.01,0.98,0.17775832416058857,75
Jp6aXC9KLjcFZBaQdZl4i9dUscl1,0.8885968150130971,0.3306601107869905,60,0.8885895552058134,0.5652025265449826,0.3233870286608308,0.330626971237139,60
JvrZiMHtAfP6gvQtlevYWafKy0z2,0.01,0.1,75,0.200171314075412,0.5813709160749639,-0.38119960199955194,0.44127415000205417,75
K26uNuY0VNPjJNF26wEx3bFg0kr2,0.01,0.1,70,0.01,0.8298287042792093,-0.8198287042792093,2.7057131686712643,70
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,0.01,0.1,93,0.01,0.6757755540977329,-0.6657755540977329,0.1,93
KtKj6zUKc5Oogd2itg2jdwkchnf2,0.01,0.10000000000000009,66,0.01,0.01,0.0,0.1,66
LSLmd8jENtONZFVkIpRDX665Bu73,0.01,0.1,82,0.99,0.01,0.98,0.1,82
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,0.01,0.10000000000000009,71,0.010000000000000009,0.01,8.673617379884035e-18,0.1,71
LliUMEIsrCVZ88YFQfevan2Og4z1,0.01,0.1,97,0.99,0.01,0.98,0.22816915974370441,97
M4Km1Q2P2oPliChDQkwl6k20FUI3,0.01,0.1,102,0.01,0.99,-0.98,3.6739260337400714,102
O61Eik2zvrSQLMNpFbTNEgjWwMr2,0.01,0.1,78,0.99,0.01,0.98,0.7271577741786668,78
OExlWyngGfPrScDYjaRcv5PIAet1,0.34526513718371854,0.8594976761357421,66,0.45121189115302374,0.01,0.4412118911530237,1.0610155756837734,66
ORuVuFPU5idz3fMoXTGsbwToW2j2,0.01,0.1,88,0.01,0.01,0.0,0.1,88
ORvIk1xRWIQmKuLVe6GXNouvAXx2,0.01,3.9286965720139255,101,0.3629820929115564,0.99,-0.6270179070884436,0.4545342646299216,101
P8mTl71XaYNvFMTCvlKpzzUdc9W2,0.01,0.1,80,0.4453993652297461,0.01,0.4353993652297461,0.18788163380760575,80
